And,and,and,12285,CCONJ,cc,True,0
Uh,Uh,uh,333677,PROPN,intj,False,0
Next,Next,next,199504,PROPN,compound,True,1
VIdeo,VIdeo,video,359514,PROPN,compound,False,1
Shoot,Shoot,shoot,288779,PROPN,ROOT,False,1
in,in,in,149313,ADP,prep,True,0
The,the,the,320691,DET,det,True,0
Hood,Hood,hood,143472,PROPN,compound,False,1
Holla,Holla,holla,142474,PROPN,pobj,False,1
at,at,at,22372,ADP,prep,True,0
A,a,a,0,DET,det,True,0
Nigga,Nigga,niggra,199896,PROPN,compound,False,0
Ju,Ju,ju,161970,PROPN,compound,False,0
Heard,Heard,heard,134796,PROPN,pobj,False,1
